Date,fx_kes_usd
,USDKES=X
2014-07-08,86.32499694824219
2014-07-09,86.23400115966797
2014-07-10,86.125
2014-07-11,86.23999786376953
2014-07-14,86.29000091552734
2014-07-15,86.28600311279297
2014-07-16,86.27200317382812
2014-07-17,86.26399993896484
2014-07-18,86.37699890136719
2014-07-21,86.39399719238281
2014-07-22,86.36100006103516
2014-07-23,86.40899658203125
2014-07-24,86.31700134277344
2014-07-25,86.21700286865234
2014-07-28,86.26300048828125
2014-07-29,86.31300354003906
2014-07-30,86.21199798583984
2014-07-31,86.30899810791016
2014-08-01,86.29000091552734
2014-08-04,86.20899963378906
2014-08-05,86.40399932861328
2014-08-06,86.40299987792969
2014-08-07,86.2959976196289
2014-08-08,86.47699737548828
2014-08-11,86.40599822998047
2014-08-12,86.49400329589844
2014-08-13,86.61000061035156
2014-08-14,86.60299682617188
2014-08-15,86.60199737548828
2014-08-18,86.76100158691406
2014-08-19,86.85199737548828
2014-08-20,86.7969970703125
2014-08-21,86.84500122070312
2014-08-22,86.74800109863281
2014-08-25,87.19200134277344
2014-08-26,86.8280029296875
2014-08-27,86.88700103759766
2014-08-28,86.91899871826172
2014-08-29,87.67500305175781
2014-09-01,87.03600311279297
2014-09-02,86.98100280761719
2014-09-03,87.19100189208984
2014-09-04,87.04499816894531
2014-09-05,87.41699981689453
2014-09-08,87.03099822998047
2014-09-09,87.1050033569336
2014-09-10,87.15699768066406
2014-09-11,87.2509994506836
2014-09-12,87.4530029296875
2014-09-15,87.45500183105469
2014-09-16,87.56400299072266
2014-09-17,87.69200134277344
2014-09-18,87.47200012207031
2014-09-19,87.56999969482422
2014-09-22,87.37000274658203
2014-09-23,87.50199890136719
2014-09-24,87.63999938964844
2014-09-25,87.63700103759766
2014-09-26,87.4749984741211
2014-09-29,87.69100189208984
2014-09-30,87.65499877929688
2014-10-01,87.71600341796875
2014-10-02,87.66999816894531
2014-10-03,88.85099792480469
2014-10-06,87.71800231933594
2014-10-07,87.572998046875
2014-10-08,87.58100128173828
2014-10-09,87.47000122070312
2014-10-10,88.19100189208984
2014-10-13,87.62699890136719
2014-10-14,87.61499786376953
2014-10-15,87.48300170898438
2014-10-16,87.33499908447266
2014-10-17,87.53299713134766
2014-10-20,87.50199890136719
2014-10-21,87.5770034790039
2014-10-22,87.58399963378906
2014-10-23,87.5719985961914
2014-10-24,88.072998046875
2014-10-27,87.87100219726562
2014-10-28,87.73600006103516
2014-10-29,87.37699890136719
2014-10-30,87.70999908447266
2014-10-31,88.61199951171875
2014-11-03,87.99199676513672
2014-11-04,88.05999755859375
2014-11-05,88.08599853515625
2014-11-06,88.09100341796875
2014-11-07,88.19999694824219
2014-11-10,89.04499816894531
2014-11-11,88.45099639892578
2014-11-12,88.58000183105469
2014-11-13,88.50499725341797
2014-11-14,88.1709976196289
2014-11-17,88.33799743652344
